#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-19T19:24:19 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-19T19:24:19	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+A/532/A10&tab:{J/A+A/532/A10/stars}&key:source=J/A+A/532/A10/stars&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/532/A10/stars
#-order=I
#-out=Assoc
#-out=P
#-out=Target
#-out=ASAS
#-out=Per
#-out=n_Per
#-out=e_Per
#-out=TS
#-out=Qual
#-out=Vamp
#-out.all=2
#-out=Vsig
#-out=Vmin
#-out=B-V
#-out=n_B-V
#-out=SpType
#-out=Note
#-out=VName
#-out=OName
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=r_Vmag
#-out=(B-V)
#-out.all=2
#-out=(V-I)
#-out=r_(V-I)
#-out=VMAG
#-out=Dist
#-out=l_vsini
#-out=vsini
#-out=Mass
#-out=Rad
#-out=SpT.l
#-out=MGR
#-out=n_Vmag
#-out.all=2
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_35320010
#Name: J/A+A/532/A10
#Title: RACE-OC project. II. (Messina+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/532/a10	
#INFO	publisher=CDS	
#INFO	creator=Messina S.	
#INFO	related_resource=bibcode:2011A&A...532A..10M	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/532/A10	
#INFO	publication_id=doi:10.26093/cds/vizier.35320010	
#INFO	publication_date=2017-06-21	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_532_A10_stars:
#Name: J/A+A/532/A10/stars
#Title: Data about the studied stars,  including results from the literature and physical data derived from  evolutionary tracks
#Column	Assoc	(A7)	Association name	[ucd=meta.id.parent]
#Column	P	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	Target	(a15)	Target name	[ucd=meta.id;meta.main]
#Column	ASAS	(A13)	ASAS name (HHMMSS.ss+DDMM.m, J2000)	[ucd=meta.id]
#Column	Per	(F6.3)	? Period	[ucd=time.period]
#Column	n_Per	(A1)	[bc] Undetected or inconsistent period (1)	[ucd=meta.note]
#Column	e_Per	(F6.3)	? rms uncertainty on Per	[ucd=stat.error]
#Column	TS	(A9)	? Timeseries sections	[ucd=meta.note]
#Column	Qual	(A1)	[CLU] Quality for Confirmed, Likely, Undertain	[ucd=meta.code.qual]
#Column	Vamp	(F5.2)	? V-band maximum peak-to-peak light curve amplitude	[ucd=src.var.amplitude;em.opt.V;stat.max]
#Column	Vsig	(F5.2)	? Photometric precision	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Vmin	(F5.2)	Minimum V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	n_B-V	(A2)	[ad Av] Note on B-V (2)	[ucd=meta.note]
#Column	SpType	(a6)	MK spectral type	[ucd=src.spType]
#Column	Note	(a10)	Note about binarity or period origin (3)	[ucd=meta.note]
#Column	VName	(a9)	Variable name	[ucd=meta.id]
#Column	OName	(a23)	Other name (IC 2391 cluster only)	[ucd=meta.id]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	r_Vmag	(A1)	[ATLP] Reference for Vmag (2)	[ucd=meta.ref;pos.frame]
#Column	(B-V)	(F5.2)	? B-V colour index (from literature)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	(V-I)	(F5.2)	? V-I colour index (from literature)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	r_(V-I)	(I1)	[0/7] Reference for V-I and B-V (3)	[ucd=meta.ref;pos.frame]
#Column	VMAG	(F5.2)	Absolute V magnitude	[ucd=phys.magAbs;em.opt.V]
#Column	Dist	(F5.1)	Distance	[ucd=pos.distance;pos.heliocentric]
#Column	l_vsini	(A1)	Limit flag on vsini	[ucd=meta.code.error;phys.veloc.rotat]
#Column	vsini	(F6.2)	? Rotational velocity	[ucd=phys.veloc.rotat]
#Column	Mass	(F4.1)	? Mass	[ucd=phys.mass]
#Column	Rad	(F5.2)	? Radius	[ucd=phys.size.radius]
#Column	SpT.l	(a7)	MK spectral type from literature	[ucd=src.spType]
#Column	MGR	(a7)	Membership to association (1)	[ucd=meta.id.parent]
#Column	n_Vmag	(A2)	[Av] Av when corrected for extinction	[ucd=meta.note]
Assoc|P|Target|ASAS|Per|n_Per|e_Per|TS|Qual|Vamp|Vsig|Vmin|B-V|n_B-V|SpType|Note|VName|OName|RAJ2000|DEJ2000|Vmag|r_Vmag|(B-V)|(V-I)|r_(V-I)|VMAG|Dist|l_vsini|vsini|Mass|Rad|SpT.l|MGR|n_Vmag
Argus  |P|TYC 7695-0335-1|092854-4101.3| 0.391| | 0.001| 7( 7)/ 9|C| 0.10| 0.03|11.62| 0.67|  |K3V   |new       |         |                       |09 28 54.10|-41 01 19.00|11.62|T| 0.67| 0.74|5| 5.84|143.0| |120.00| 0.9| 1.00|K3V    |Arg    |
Argus  |P|HD 84075       |093618-7820.7|      | |      |         | |     |     | 8.59| 0.59|  |G1    |---       |         |                       |09 36 17.80|-78 20 42.00| 8.59|A| 0.59| 0.66|4| 4.59| 63.0| | 20.00| 1.0| 1.10|G1     |Arg    |
Argus  |P|TYC 9217-0641-1|094247-7239.8| 2.300| | 0.010| 6( 6)/ 8|C| 0.16| 0.03|12.18| 0.65|  |K1V   |new       |         |                       |09 42 47.40|-72 39 50.00|12.18|A| 0.65| 0.93|5| 6.58|132.0| | 23.40| 0.8| 0.90|K1V    |Arg    |
Argus  |P|CD-39 5883     |094718-4002.9| 4.060|b| 0.030| 5( 5)/ 9|C| 0.04| 0.03|10.74| 0.81|a |K0V   |new       |         |                       |09 47 19.90|-40 03 10.00|10.74|A| 0.81| 0.88|5| 5.74|100.0| | 10.80| 0.9| 1.00|K0V    |Arg    |
Argus  |P|HD 85151A      |094843-4454.1| 0.970| | 0.005| 5( 5)/ 5|C| 0.02| 0.01| 9.10| 0.50|  |G7V   |V; new    |         |                       |09 48 43.30|-44 54 08.00| 9.10|A| 0.50| 0.78|5| 4.91| 69.0| |      | 1.0| 1.20|G7V    |Arg    |
Argus  |P|CD-65 817      |094909-6540.3| 2.740| | 0.020| 4( 4)/ 7|U| 0.04| 0.03|10.33| 0.63|  |G5V   |V; new    |         |                       |09 49 09.00|-65 40 21.00|10.33|T| 0.63| 0.69|4| 4.58|141.0| | 19.20| 1.0| 1.10|G5V    |Arg    |
Argus  |P|HD 309851      |095558-6721.4| 1.816| | 0.007| 5( 5)/ 7|C| 0.06| 0.03| 9.78| 0.60|  |G1V   |new       |         |                       |09 55 58.30|-67 21 22.00| 9.78|A| 0.60| 0.68|4| 4.72|103.0| | 19.80| 1.0| 1.20|G1V    |Arg    |
Argus  |P|HD 310316      |104956-6951.4| 3.610| | 0.030| 4( 6)/ 9|L| 0.06| 0.03|10.82| 0.73|  |G8V   |V; new    |         |                       |10 49 56.10|-69 51 22.00|10.82|T| 0.73| 0.78|4| 5.28|128.0| | 16.30| 1.0| 1.00|G8V    |Arg    |
Argus  |P|CP-69 1432     |105351-7002.3| 1.030| | 0.002| 3( 5)/ 8|L| 0.06| 0.03|10.66| 0.62|  |G2V   |new       |         |                       |10 53 51.50|-70 02 16.00|10.66|T| 0.62| 0.71|4| 4.59|164.0| | 55.00| 1.0| 1.20|G2V    |Arg    |
Argus  |P|CD-74 673      |122034-7539.5| 3.480| | 0.020| 6( 6)/ 8|C| 0.07| 0.03|10.49| 1.02|  |K3V   |SB; new   |         |                       |12 20 34.40|-75 39 29.00|10.28|A| 1.02| 1.06|5| 6.78| 50.0| | 12.00| 0.8| 0.90|K3Ve   |Arg    |
Argus  |P|CD-75 652      |134913-7549.8| 2.270| | 0.010| 9( 8)/ 9|C| 0.08| 0.03| 9.61| 0.68|  |G1V   |new       |         |                       |13 49 12.90|-75 49 48.00| 9.61|A| 0.68| 0.76|4| 5.07| 81.0| | 20.10| 1.0| 1.10|G1V    |Arg    |
Argus  |P|HD 133813      |151223-7515.3| 4.090| | 0.030| 8( 7)/10|C| 0.07| 0.03| 9.27| 0.84|  |G9V   |new       |NY Aps   |                       |15 12 23.40|-75 15 15.00| 9.27|A| 0.84| 0.86|4| 5.78| 50.0| | 10.80| 0.9| 1.00|G9V    |Arg    |
Argus  |P|CD-52 9381     |200724-5147.5| 0.830| | 0.001| 5( 6)/ 9|C| 0.12| 0.03|10.53| 1.24|  |K6V   |P=PACVS   |         |                       |20 07 23.80|-51 47 27.00|10.01|A| 1.24| 1.25|5| 7.70| 29.0| | 42.00| 0.7| 0.80|K6Ve   |Arg    |
IC 2391|P|PMM 7422       |082844-5205.7| 1.512| | 0.005| 7( 6)/ 9|C| 0.11| 0.03|10.40| 0.69|  |G6    |new       |         |TYC 8162-1020-1        |08 28 45.67|-52 05 26.70|10.40|A| 0.69| 0.75|7| 5.00|120.0| | 33.00| 1.0| 1.00|G6     |Arg    |
IC 2391|P|PMM 7956       |082952-5140.7|      | |      |         | | 0.00| 0.00|11.50| 0.97|  |K2e   |---       |         |1RXS J082952.7-514030  |08 29 51.90|-51 40 40.00|11.50|A| 0.97| 1.06|7| 5.75|141.0| | 14.00| 1.0| 1.00|Ke     |Arg    |
IC 2391|P|PMM 1560       |082952-5322.0|      | |      |         | | 0.00| 0.00|10.64| 0.61|  |G3    |---       |         |TYC 8568-1413-1        |08 29 52.40|-53 22 00.00|10.64|P| 0.61| 0.72|7| 4.99|135.0| |  6.00| 1.0| 1.00|G3     |Arg    |
IC 2391|P|PMM 6974       |083418-5216.0| 7.800| | 0.050| 4( 3)/ 8|U| 0.10| 0.03|12.04| 1.04|  |---   |new       |         |TYC 8162-754-1         |08 34 18.10|-52 15 58.00|12.04|A| 1.04| 1.17|7| 6.20|147.0| |  5.00| 0.9| 1.00|...    |Arg    |
IC 2391|P|PMM 4280       |083421-5250.1|      | |      |         | | 0.00| 0.00|10.04| 0.67|  |G5    |---       |         |TYC 8568-407-1         |08 34 20.50|-52 50 05.00|10.04|P| 0.67| 0.74|7| 4.20|145.0| | 16.00| 1.0| 1.60|G5     |Arg    |
IC 2391|P|PMM 6978       |083501-5214.0| 5.100| | 0.200| 4( 5)/ 8|L| 0.11| 0.03|12.01| 1.02|  |---   |new       |         |1RXS J083502.7-521339  |08 35 01.20|-52 14 01.00|12.01|P| 1.02| 1.14|7| 6.47|128.0| |  7.00| 0.9| 0.90|...    |Arg    |
IC 2391|P|PMM 2456       |083544-5321.3|      | |      |         | | 0.00| 0.00|12.16| 0.92|  |K3e   |---       |         |1RXS J083543.4-532123  |08 35 43.70|-53 21 20.00|12.16|A| 0.92| 0.98|7| 6.51|135.0| | 48.00| 0.8| 0.90|K3e    |Arg    |
IC 2391|P|PMM 351        |083624-5401.1| 1.923|c| 0.007| 6( 4)/ 7|U| 0.06| 0.03|10.17| 0.57|  |G0    |new       |         |1RXS J083624.5-540101  |08 36 24.20|-54 01 06.00|10.17|P| 0.57| 0.70|7| 4.63|128.0| | 90.00| 1.0| 1.20|G0     |Arg    |
IC 2391|P|PMM 3359       |083655-5308.5| 3.840| | 0.030| 6( 3)/ 8|C| 0.05| 0.03|11.38| 0.76|  |---   |new       |         |                       |08 36 55.00|-53 08 34.00|11.38|A| 0.76| 0.80|7| 5.70|137.0| |  9.00| 1.0| 1.00|...    |Arg    |
IC 2391|P|PMM 5376       |083703-5247.0|      | |      |         | | 0.00| 0.00|13.94| 1.37|  |Me    |---       |         |                       |08 37 02.30|-52 46 59.00|13.94|A| 1.37| 1.73|7| 8.33|132.0| | 10.00| 0.7| 0.80|Me     |Arg    |
IC 2391|P|PMM 665        |083752-5345.8| 4.510| | 0.040| 3( 4)/ 8|U| 0.07| 0.03|11.33| 0.75|  |G8    |new       |         |2MASS J08375156-5345458|08 37 51.60|-53 45 46.00|11.33|P| 0.75| 0.79|7| 5.61|139.0| |  8.00| 1.0| 1.00|G8     |Arg    |
IC 2391|P|PMM 4336       |083756-5257.1| 3.710| | 0.030| 4( 5)/ 9|L| 0.06| 0.03|11.25| 0.86|  |G9    |new       |         |VXR PSPC 2a            |08 37 55.60|-52 57 11.00|11.25|A| 0.86| 0.97|6| 5.53|139.0| |  8.00| 1.0| 1.10|G9     |Arg    |
IC 2391|P|PMM 4362       |083823-5256.8| 3.930| | 0.030| 4( 4)/ 9|U| 0.05| 0.03|10.91| 0.67|  |---   |new       |VXR 3a   |CD-52 2467             |08 38 22.90|-52 56 48.00|10.91|A| 0.67| 0.74|6| 5.07|147.0| | 10.00| 1.0| 1.10|...    |Arg    |
IC 2391|P|PMM 4413       |083856-5257.9| 5.050| | 0.050| 3( 2)/ 9|U| 0.03| 0.03|10.20| 0.67|  |G2    |SB2, new  |VXR 5    |CD-52 2472             |08 38 55.70|-52 57 52.00|10.20|A| 0.67| 0.74|7| 4.45|141.0| |  9.00| 1.0| 1.40|G2     |Arg    |
IC 2391|P|PMM 686        |083923-5355.1| 4.410| | 0.050| 2( 0)/ 7|U| 0.05| 0.03|12.55| 1.04|  |K4e   |new       |         |1RXS J083921.9-535420  |08 39 22.60|-53 55 06.00|12.55|A| 1.04| 1.11|7| 6.87|137.0| | 13.00| 0.8| 0.90|K4e    |Arg    |
IC 2391|P|PMM 4467       |083953-5257.9| 3.850| | 0.030| 7( 7)/ 9|C| 0.17| 0.03|11.84| 0.84|  |K0(e  |P=Plit    |V364 Vel |VXR PSPC 12            |08 39 53.00|-52 57 57.00|11.80|A| 0.86| 0.91|7| 6.11|137.0| |  7.00| 0.9| 1.00|K0(e)  |Arg    |
IC 2391|P|PMM 1083       |084006-5338.1| 1.333| | 0.004| 8( 8)/ 8|C| 0.07| 0.03|10.38| 0.57|  |G0    |P=Plit    |V365 Vel |VXR PSPC 14            |08 40 06.20|-53 38 07.00|10.38|A| 0.57| 0.69|6| 4.66|139.0| | 43.00| 1.0| 1.20|G0     |Arg    |
IC 2391|P|PMM 8415       |084016-5256.5|      | |      |         | | 0.00| 0.00|11.63| 0.87|  |G9(e) |---       |         |VXR PSPC 16a           |08 40 16.30|-52 56 29.00|11.63|A| 0.87| 0.94|6| 5.88|141.0| | 21.00| 0.9| 1.00|G9(e)  |Arg    |
IC 2391|P|PMM 1759       |084018-5330.4|      | |      |         | | 0.00| 0.00|12.54| 1.01|Av|K3e   |---       |         |VXR PSPC 18            |08 40 18.30|-53 30 29.00|11.62|A| 1.01| 1.06|6| 5.96|135.0| |  4.00| 0.9| 1.00|K3e    |Arg    |Av
IC 2391|P|PMM 1142       |084049-5337.8|      | |      |         | | 0.00| 0.00|11.04| 0.68|  |G6    |---       |         |VXR PSPC 22a           |08 40 49.10|-53 37 45.00|11.04|A| 0.68| 0.80|6| 5.20|147.0| |  8.00| 1.0| 1.00|G6     |Arg    |
IC 2391|P|PMM 1820       |084126-5322.7| 0.527|b| 0.001| 4( 5)/ 8|C| 0.12| 0.03|12.41| 1.00|  |K3e   |P=Plit    |V366 Vel |VXR PSPC 35a           |08 41 25.90|-53 22 41.00|12.41|A| 1.00| 1.23|6| 6.47|154.0| | 89.00| 0.9| 1.00|K3e    |Arg    |
IC 2391|P|PMM 4636       |084158-5252.2|      | |      |         | | 0.00| 0.00|13.20| 1.26|  |K7e   |---       |V368 Vel |VXR PSPC 41            |08 41 57.80|-52 52 14.00|13.20|A| 1.26| 1.55|6| 7.55|135.0| |  5.00| 0.8| 0.90|K7e    |Arg    |
IC 2391|P|PMM 3695       |084219-5301.9| 0.223| |      |         |U| 0.00| 0.00|13.60| 1.44|  |M2e   |Plit      |V371 Vel |VXR PSPC 47            |08 42 18.60|-53 01 57.00|13.30|A| 1.44| 2.07|6| 7.62|137.0| | 90.00| 0.8| 1.40|M2e    |Arg    |
IC 2391|P|PMM 756        |084300-5354.1| 3.140| | 0.020| 7( 7)/ 7|C| 0.13| 0.03|11.06| 0.68|  |G9    |new       |         |                       |08 43 00.40|-53 54 08.00|11.06|A| 0.68| 0.74|7| 5.19|149.0| | 16.00| 1.0| 1.00|G9     |Arg    |
IC 2391|P|PMM 2012       |084359-5333.7| 2.210| | 0.010| 4( 4)/ 8|U| 0.10| 0.03|11.41| 0.83|  |K0(e) |new       |         |VXR PSPC 69            |08 43 59.00|-53 33 44.00|11.41|A| 0.83| 0.90|6| 5.76|135.0| | 19.00| 0.9| 1.00|K0(e)  |Arg    |
IC 2391|P|PMM 4809       |084405-5253.3| 2.600| | 0.010| 6( 7)/ 9|C| 0.08| 0.03|10.73| 0.64|  |G3(e) |new       |V376 Vel |VXR PSPC 70            |08 44 05.20|-52 53 17.00|10.73|A| 0.64| 0.75|6| 4.79|154.0| | 16.00| 1.0| 1.10|G3(e)  |Arg    |
IC 2391|P|PMM 1373       |084410-5343.6| 5.380| | 0.060| 1( 2)/ 8|U| 0.06| 0.03|12.06| 0.96|  |---   |new       |         |                       |08 44 10.20|-53 43 34.00|12.06|A| 0.96| 1.04|7| 6.31|141.0| |  7.00| 0.9| 0.90|...    |Arg    |
IC 2391|P|PMM 5884       |084426-5242.5| 3.030| | 0.020| 5( 6)/ 9|C| 0.07| 0.03|11.35| 0.73|  |G9(e) |P=Plit    |V377 Vel |VXR PSPC 72            |08 44 26.20|-52 42 32.00|11.35|A| 0.73| 0.84|6| 5.63|139.0| | 13.00| 1.0| 1.00|G9(e)  |Arg    |
IC 2391|P|PMM 4902       |084526-5252.0| 4.820|b| 0.050| 4( 2)/ 9|C| 0.10| 0.03|12.45| 1.05|  |K3e   |P=Plit    |V379 Vel |VXR PSPC 76a           |08 45 26.90|-52 52 02.00|12.45|A| 1.05| 1.24|6| 6.83|133.0| |  7.00| 0.8| 0.90|K3e    |Arg    |
IC 2391|P|PMM 2182       |084548-5325.8| 1.437|b| 0.002| 8( 4)/ 8|C| 0.06| 0.03|10.18| 0.63|  |G2(e) |new       |         |TYC 8569-2769-1        |08 45 48.00|-53 25 51.00|10.18|A| 0.63| 0.66|7| 4.27|152.0| | 78.00| 1.0| 1.40|G2(e)  |Arg    |

